"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"HYXE","iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF","51.21","10242000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/hyxe",
"CIU","iShares Intermediate Credit Bond ETF","108.96","7512792000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ciu",
"IGOV","iShares International Treasury Bond ETF","49.98","859656000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/igov",
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF","115.96","13474552000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/emb",
"MBB","iShares MBS ETF","106.18","11966486000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/mbb",
"JKI","iShares Morningstar Mid-Cap ETF","164.42","435713000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/jki",
"ACWX","iShares MSCI ACWI ex US Index Fund","51.73","3383142000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/acwx",
"ACWI","iShares MSCI ACWI Index Fund","74.63","9075008000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/acwi",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","79.4","5145120000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/aaxj",
"EWZS","iShares MSCI Brazil Small-Cap ETF","17.03","79189500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ewzs",
"MCHI","iShares MSCI China ETF","70.9","3119600000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/mchi",
"ESGD","iShares MSCI EAFE ESG Optimized ETF","70.0673","140134600","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/esgd",
"SCZ","iShares MSCI EAFE Small-Cap ETF","66.55","10674620000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/scz",
"ESGE","iShares MSCI EM ESG Optimized ETF","76.5294","198976440","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/esge",
"EEMA","iShares MSCI Emerging Markets Asia Index Fund","76.91","646044000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/eema",
"EMXC","iShares MSCI Emerging Markets ex China ETF","55.36","11072000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/emxc",
"EUFN","iShares MSCI Europe Financials Sector Index Fund","24.62","2246575000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/eufn",
"IEUS","iShares MSCI Europe Small-Cap ETF","59.39","216773500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ieus",
"RING","iShares MSCI Global Gold Miners ETF","19.03","357764000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ring",
"MPCT","iShares MSCI Global Impact ETF","60.33","27148500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/mpct",
"ENZL","iShares MSCI New Zealand ETF","47.77","145698500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/enzl",
"QAT","iShares MSCI Qatar ETF","17.1352","59973200","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/qat",
"TUR","iShares MSCI Turkey ETF","43.88","377368000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/tur",
"UAE","iShares MSCI UAE ETF","17.81","45415500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/uae",
"ESGU","iShares MSCI USA ESG Optimized ETF","59.9018","20965630","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/esgu",
"IBB","iShares Nasdaq Biotechnology Index Fund","111.23","10288775000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ibb",
"SOXX","iShares PHLX SOX Semiconductor Sector Index Fund","178.03","1566664000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/soxx",
"AMCA","iShares Russell 1000 Pure U.S. Revenue ETF","27.73","9705500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/amca",
"EMIF","iShares S&P Emerging Markets Infrastructure Index Fund","33.49","45211500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/emif",
"ICLN","iShares S&P Global Clean Energy Index Fund","9.69","147288000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/icln",
"WOOD","iShares S&P Global Timber & Forestry Index Fund","73.3","395820000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/wood",
"INDY","iShares S&P India Nifty 50 Index Fund","37.74","1232211000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/indy",
